timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
20/07/2017 21:43,39,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2820,660,2,2,39,2,0
20/07/2017 21:43,45,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-9,text,true,,3179,627,2,2,45,0,0
20/07/2017 21:43,45,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,3179,627,2,2,45,0,0
20/07/2017 21:43,917,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-9,text,true,,3297,856,2,2,917,0,36
20/07/2017 21:43,8,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-9,text,true,,2504,735,2,2,8,0,0
20/07/2017 21:43,165,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-9,text,true,,1865,7872,2,2,165,0,0
20/07/2017 21:43,1090,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,7666,9463,2,2,1090,3,36
20/07/2017 21:43,5654,296 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,text,true,,1563,68070,2,2,5654,0,0
20/07/2017 21:43,5742,SubirArchivo,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,1941,68776,2,2,5742,1,38
20/07/2017 21:43,91,235 /portal-servicios/crear-ticket.html,200,OK,Thread Group 1-9,text,true,,4137,535,2,2,91,0,0
20/07/2017 21:43,70,236 /portal-servicios/js/crear-tickets.js,200,OK,Thread Group 1-9,text,true,,5350,442,2,2,70,0,0
20/07/2017 21:43,70,237 /common-resources/plugins/datatables/dataTables.bootstrap.css,200,OK,Thread Group 1-9,text,true,,2500,481,2,2,70,0,0
20/07/2017 21:43,106,168 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,,true,,378,706,2,2,106,0,43
20/07/2017 21:43,244,239 /common-resources/plugins/datatables/extensions/Responsive/css/dataTables.responsive.css,200,OK,Thread Group 1-9,text,true,,974,508,2,2,244,0,0
20/07/2017 21:43,134,240 /common-resources/plugins/spinnerjs/jquery.babypaunch.spinner.min.js,200,OK,Thread Group 1-9,text,true,,1078,473,2,2,134,0,66
20/07/2017 21:43,73,238 /common-resources/js/bower_components/jquery-xml2json/src/xml2json.js,200,OK,Thread Group 1-9,text,true,,1509,474,2,2,73,0,0
20/07/2017 21:43,71,243 /common-resources/plugins/datatables/extensions/Responsive/js/dataTables.responsive.min.js,200,OK,Thread Group 1-9,text,true,,3340,495,2,2,71,0,0
20/07/2017 21:43,69,242 /common-resources/plugins/datatables/dataTables.bootstrap.min.js,200,OK,Thread Group 1-9,text,true,,1402,469,2,2,69,0,0
