2017/08/24 17:17:59 WARN  - jmeter.protocol.http.proxy.Proxy: [50738] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:02 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = REG05FRQ01 
2017/08/24 17:18:02 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/08/24 17:18:02 INFO  - jmeter.protocol.http.sampler.LazySchemeSocketFactory: Setting up HTTPS TrustAll Socket Factory 
2017/08/24 17:18:02 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2017/08/24 17:18:02 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2017/08/24 17:18:02 INFO  - jmeter.util.SSLManager: JmeterKeyStore Location:  type JKS 
2017/08/24 17:18:02 INFO  - jmeter.util.SSLManager: KeyStore created OK 
2017/08/24 17:18:02 WARN  - jmeter.util.SSLManager: Keystore file not found, loading empty keystore 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50744] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50741] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50745] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50742] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50746] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50743] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50749] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50747] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50751] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50750] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50752] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50748] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50753] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50757] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50754] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50756] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50755] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 WARN  - jmeter.protocol.http.proxy.Proxy: [50761] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:03 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/08/24 17:18:04 WARN  - jmeter.protocol.http.proxy.Proxy: [50787] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50790] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50793] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50796] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50801] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50802] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50803] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50799] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50800] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50806] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50805] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50810] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50819] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50824] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50822] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50821] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50830] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50829] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:05 WARN  - jmeter.protocol.http.proxy.Proxy: [50837] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50844] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50846] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50847] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50854] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50853] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50859] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50861] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50865] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:06 WARN  - jmeter.protocol.http.proxy.Proxy: [50863] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:07 INFO  - jmeter.protocol.http.proxy.ProxyControl: [50871] Creating entry clients1.google.com in D:\Vector\Performance\bin\proxyserver.jks 
2017/08/24 17:18:07 WARN  - jmeter.protocol.http.proxy.Proxy: [50872] Empty response to http over SSL. Probably waiting for user to authorize the certificate for gmgssodev.azurewebsites.net:443 
2017/08/24 17:18:11 INFO  - jmeter.protocol.http.proxy.Proxy: [50871] KeyStore for SSL loaded OK and put host 'clients1.google.com' in map with key (clients1.google.com) 
2017/08/24 17:18:11 WARN  - jmeter.protocol.http.proxy.Proxy: [50871] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
2017/08/24 17:18:12 WARN  - jmeter.protocol.http.proxy.Proxy: [50875] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
2017/08/24 17:18:13 WARN  - jmeter.protocol.http.proxy.Proxy: [50876] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
2017/08/24 17:18:17 WARN  - jmeter.protocol.http.proxy.Proxy: [50877] Empty response to http over SSL. Probably waiting for user to authorize the certificate for clients1.google.com:443 
